1,Sapphire Mines,,,10,1183,"1
4 min","1
247 min","1
13 min","1
147 min","1
122 min","1
83 min","1
64 min","3
-","1
-","1
9 min","1
179 min","2
295 min"
2,Alberta Sapphire,,,9,1076,"1
3 min","3
280 min","1
9 min","1
275 min","1
120 min","1
142 min","1
21 min",,"1
-","1
14 min","1
172 min",
3,Gray Code,,,8,1162,"1
5 min","2
242 min","1
17 min","5
286 min","2
120 min","1
-","2
110 min",,,"1
13 min","1
-","2
209 min"
4,Codeswamp,,,6,503,"1
6 min",,"1
26 min",,"2
93 min",,"1
49 min","1
-",,"1
35 min","7
-","1
274 min"
5,Ski Bees,,,5,526,"1
65 min",,"1
29 min",,"1
208 min",,"2
136 min","7
-",,"2
48 min",,
6,Alberta Gold,,,5,587,"1
4 min",,"1
32 min","1
288 min","3
-",,"1
226 min","1
-",,"1
37 min",,
7,Toji Enjoyers,,,4,229,"2
7 min",,"1
16 min",,,"2
-","1
160 min",,,"1
26 min",,
8,Merge Conflicts,,,4,287,"1
4 min","3
-","1
25 min",,"1
241 min",,"2
-","10
-",,"1
17 min",,
9,Blue,,,4,314,"1
6 min","6
-","1
15 min",,,,,"3
-",,"1
104 min",,"1
189 min"
10,Mines 3,,,4,343,"1
9 min",,"1
22 min",,"2
265 min",,,,,"1
27 min",,
11,Codetoads,,,4,359,"1
4 min",,"1
21 min",,"2
288 min",,,"8
-",,"1
26 min",,
12,Faster-Than-Ackermann,,,4,367,"1
7 min","1
-","1
20 min","1
-","2
-","1
-","2
215 min","5
-","1
-","1
105 min","1
-","1
-"
13,NP-Soft,,,4,487,"2
9 min",,"1
88 min",,,,"3
230 min","7
-",,"1
100 min","1
-","1
-"
14,Ctrl+Alt+Complete,,,3,76,"1
10 min","5
-","1
46 min",,,,,,,"1
20 min",,
15,Alberta Green,,,3,82,"1
7 min",,"1
19 min",,,,,"1
-","1
-","1
56 min",,
16,Mines 1,,,3,103,"1
12 min",,"1
23 min",,,,,,"1
-","2
48 min",,
17,Alberta Blue,,,3,105,"1
10 min",,"1
43 min",,,,,,"1
-","1
52 min",,
18,Alberta Magenta,,,3,171,"1
7 min","2
-","2
68 min",,,,"6
-",,,"1
76 min",,
19,University of Lethbridge A,,,3,188,"2
24 min",,"1
52 min",,,,"1
-","1
-",,"1
92 min",,
20,Mines 2,,,3,200,"3
36 min",,"1
51 min",,,,"1
-",,,"1
73 min",,
21,15%,,,3,207,"2
19 min","1
-","1
49 min",,,,"3
-",,,"3
79 min",,
22,Narayana's Cow,,,3,210,"2
22 min",,"1
41 min",,"1
-",,"6
-",,,"3
87 min",,
23,Bit Busters,,,3,229,"1
21 min",,"1
34 min",,,,"4
-","2
-",,"4
114 min",,
24,scriptkitties,,,3,245,"3
51 min","4
-","1
86 min",,,,"3
-","2
-",,"1
68 min",,
25,VorDawg,,,3,262,"1
13 min","5
-","3
65 min",,,,"4
-",,,"1
144 min",,
26,Utah Omega,,,3,271,"2
42 min","1
-","1
89 min",,,,"1
-",,,"1
120 min",,
27,why not combinator,,,3,299,"6
19 min",,"1
63 min",,,"1
-","2
-","6
-",,"1
117 min",,
28,Orange,,,3,319,"1
35 min","3
-","1
45 min",,,,,"5
-",,"2
219 min",,
29,runtime terror,,,3,380,"1
30 min",,"1
51 min",,,,,"1
-",,"3
259 min",,
30,The Wolverines,,,3,387,"3
24 min","8
-","1
39 min",,,,,,,"1
284 min",,
31,University of Lethbridge B,,,3,390,"1
85 min",,"1
122 min",,"1
-",,"1
-",,,"1
183 min",,
32,Nexus Nexus,,,3,394,"1
10 min","2
-","1
100 min",,"1
284 min",,,,,,,
33,Team BDL,,,3,401,"1
6 min","3
-","3
99 min",,,,"2
-",,,"2
236 min",,
34,Muahahahaha,,,3,421,"6
103 min",,"1
82 min",,,,"2
-",,,"1
136 min",,
35,The Turing Trio,,,2,73,"1
21 min","6
-","1
52 min",,,,,"4
-",,,,
36,git off my lawn,,,2,118,"1
18 min","8
-","1
100 min",,"1
-",,,,,,,
37,Montana Tech Orediggers 2,,,2,119,"1
39 min","6
-","1
80 min",,"1
-",,,,,,,
38,Bobcats,,,2,152,"1
24 min",,"1
128 min",,,,,,,,,
39,Carroll College 4,,,2,161,"1
62 min",,"1
99 min",,,,,"1
-",,,,
40,University of Lethbridge C,,,2,216,"2
19 min",,"1
177 min",,,,,,,,,
41,Ctrl-alt-delight,,,2,273,"3
109 min","3
-","1
124 min",,,,,"1
-",,,,
42,University of Lethbridge D,,,2,293,"1
20 min",,"9
-",,,,,,,"1
273 min",,
43,Montana Tech Orediggers 1,,,2,303,"1
99 min","6
-","2
184 min",,,,,,,,,
44,Green,,,1,38,"1
38 min","1
-","1
-",,,,,"3
-",,,,
45,Global Variables,,,1,59,"1
59 min",,"1
-",,,,,,,,,
46,Carroll College 1,,,0,0,"13
-",,,,,,,"2
-",,"3
-",,
46,Carroll College 2,,,0,0,"29
-",,,,,,,,,,,
46,Carroll College 3,,,0,0,"8
-",,,,,,,"1
-",,,,"5
202 min"